正字,異体字
虱,蝨
蚕,蠶
它,蛇
蛍,螢
蛎,蠣
恢,蛔
囘,蛔
回,蛔
廻,蛔
蛔,迴
蕃,蛮
蛮,蠻
喰,蝕
蝕,食
虱,蝨
蝿,蠅
蛍,螢
螳,蟷
蟆,蟇
蟆,蟇
蟒,蠎
虫,蟲
螳,蟷
蟹,蠏
蝿,蠅
蟒,蠎
蟹,蠏
蛎,蠣
蠧,蠹
蚕,蠶
蠧,蠹
蕃,蠻
蛮,蠻
衂,衄
衂,衄
衛,衞
衛,衞
衽,袵
禰,袮
祢,袮
衽,袵
装,裝
装,裳
裏,裡
舖,補
舗,補
補,鋪
装,裝
裝,裳
裏,裡
裝,裳
装,裳
褒,襃
褝,襌
褒,襃
褝,襌
襍,雜
襍,雑
繿,襤
襪,韈
覇,霸
羇,覊
羈,覊
覚,覺
覧,覽
睹,覩
観,觀
覚,覺
覧,覽
観,觀
解,觧
触,觸
解,觧
触,觸
云,言
托,託
訛,譌
决,訣
決,訣
訣,蹶
訳,譯
証,證
咏,詠
誉,譽
読,讀
諌,諫
諡,謚
諌,諫
哥,謌
歌,謌
諡,謚
謠,謡
謠,謡
嘩,譁
証,證
訛,譌
譖,譛
譖,譛
噪,譟
訳,譯
善,譱
譲,讓
誉,譽
読,讀
讃,讚
讃,賛
讃,贊
変,變
讎,讐
讎,讐
譲,讓
讃,讚
讚,賛
讚,贊
渓,谿
溪,谿
荳,豆
豊,豐
竪,豎
豊,豐
予,豫
猪,豬
犲,豺
豼,貔
狢,貉
狸,貍
猊,貎
豼,貔
獏,貘
戝,財
財,賊
貭,質
二,貮
弍,貮
弐,貮
貮,貳
二,貳
弍,貳
弐,貳
貮,貳
戝,賊
財,賊
賍,贓
賎,賤
讃,賛
讚,賛
賛,贊
売,賣
賎,賤
貭,質
讃,贊
讚,贊
賛,贊
偐,贋
賍,贓
走,赱
走,赱
跖,蹠
跡,蹟
跡,迹
践,踐
疎,踈
疏,踈
踊,踴
沓,踏
踏,蹈
践,踐
踪,蹤
踊,踴
沓,蹈
踏,蹈
跡,蹟
蹟,迹
跖,蹠
踪,蹤
决,蹶
決,蹶
訣,蹶
墸,躇
躙,躪
躙,躪
体,躰
躰,軆
躰,體
軅,軈
体,軆
躰,軆
軆,體
軅,軈
転,轉
軣,轟
軽,輕
両,輌
兩,輌
輌,輛
輒,輙
軽,輕
輒,輙
両,輛
兩,輛
輌,輛
收,輯
収,輯
聚,輯
蒐,輯
輯,集
転,轉
