正字,異体字
峰,峯
法,灋
萌,萠
蜂,蠭
褒,襃
豊,豐
冒,冐
貌,皃
頬,頰
没,沒
幌,縨
本,夲
翻,飜
凡,凢
麻,蔴
毎,每
槙,槇
桝,枡
侭,儘
万,萬
満,滿
漫,澷
漫,熳
蓑,簑
蓑,簔
脈,脉
脈,衇
妙,玅
妙,竗
夢,梦
夢,夣
無,无
婿,壻
婿,聟
明,朙
面,靣
麺,麪
麺,麫
麺,麵
麺,糆
猛,勐
黙,默
黙,嘿
餅,餠
弥,彌
矢,笶
薬,藥
訳,譯
柳,栁
柳,桺
薮,籔
薮,藪
癒,瘉
勇,勈
予,豫
余,餘
与,與
誉,譽
揺,搖
様,樣
窯,窰
耀,燿
謡,謠
踊,踴
陽,阳
陽,阦
養,羪
裸,躶
来,來
莱,萊
頼,賴
雷,靁
乱,亂
覧,覽
李,杍
梨,棃
裏,裡
略,畧
溜,澑
留,畄
留,畱
竜,龍
両,兩
涼,凉
猟,獵
瞭,暸
糧,粮
緑,綠
隣,鄰
瑠,璢
塁,壘
涙,泪
類,类
励,勵
礼,禮
隷,隸
霊,靈
霊,灵
霊,霛
齢,齡
暦,曆
歴,歷
恋,戀
聯,聨
炉,爐
労,勞
労,劳
婁,娄
朗,朖
楼,樓
篭,籠
蝋,蠟
禄,祿
禄,禒
録,錄
和,咊
亘,亙
湾,灣
碗,埦
仞,仭
佇,伫
俎,爼
倅,伜
倆,俩
僊,僲
僭,僣
儔,俦
冉,冄
胄,伷
冤,寃
冦,寇
冦,宼
冪,羃
冽,洌
凅,涸
凛,凜
刊,刋
剋,尅
剳,箚
剳,劄
匆,匇
匯,滙
匳,奩
匳,匲
匳,奁
卮,巵
厖,庬
厠,廁
厦,廈
厮,廝
燮,爕
吽,呍
咤,咜
咤,吒
喀,咯
嗅,齅
嘔,呕
嘯,嘨
噪,譟
嚔,嚏
囓,齧
址,阯
埒,埓
塹,壍
壜,罎
壟,壠
夾,夹
奘,弉
